Concejo;Población;Zona;Paisaje_protegido
Allande;1615;Occidente;Si
Amieva;603;Oriente;Si
Avilés;75518;Centro;No
Belmonte de Miranda;1437;Centro;Si
Bimenes;1679;Centro;No
Boal;1482;Occidente;Si
Cabrales;5839;Oriente;Si
Cabranes;1057;Oriente;No
Candamo;1969;Centro;No
Cangas del Narcea;11596;Suroccidente;Si
Caravia;469;Oriente;No
Carreño;10177;Centro;No
Caso;?;Centro-Montaña;Si
Castrillón;22103;Centro;No
Castropol;3342;Occidente;No
Coaña;?;Occidente;No
Colunga;3205;Oriente;Si
Corvera de Asturias;15612;Centro;No
Cudillero;4922;Occidente;No
Degaña;881;Occidente;Si
El Franco;3760;Occidente;No
Gijón;268313;Centro-costero;No
Gozón;10470;Centro-costero;Si
Grado;9616;Centro;No
Grandas de Salime;815;Occidente;Si
Ibias;1207;Suroccidente;Si
Illano;?;Occidente;No
Illas;1062;Centro-costero;No
Langreo;37978;Centro;No
Laviana;12355;Centro-montaña;No
Lena;10312;Centro;No
Llanera;13948;Centro;No
Llanes;13524;Oriente-costero;Si
Mieres;36195;Centro;No
Morcín;2555;Centro;No
Muros de Nalón;1887;Occidente-costero;No
Nava;?;Oriente;No
Navia;8322;Occidente-costero;No
Noreña;?;Centro;No
Onís;734;Oriente;Si
Oviedo;217584;Centro;No
Parres;5315;Oriente;No
Peñamellera Alta;?;Oriente;Si
Peñamellera Baja;1227;Oriente;Si
Pesoz;148;Occidente;No
Piloña;6875;Oriente;Si
Ponga;572;Oriente;Si
Pravia;7984;Centro;No
Proaza;707;Centro-montaña;Si
Quirós;1187;Centro-montaña;Si
Las Regueras;1839;Centro;No
Ribadedeva;1741;Oriente-costero;Si
Ribadesella;5688;Oriente-costero;Si
Ribera de Arriba;1837;Centro;No
Riosa;1848;Centro;No
Salas;4900;Occidente;No
San Martín de Oscos;376;Occidente;No
San Martín del Rey Aurelio;15431;Centro;No
San Tirso de Abres;421;Occidente;No
Santa Eulalia de Oscos;449;Occidente;No
Santo Adriano;273;Centro;No
Sariego;1254;Centro;No
Siero;52194;Centro;No
Sobrescobio;814;Oriente-montaña;Si
Somiedo;?;Occidente-montaña;Si
Soto del Barco;3800;Occidente-costero;No
Tapia de Casariego;3726;Occidente-costero;No
Taramundi;602;Occidente;No
Teverga;1554;Centro-montaña;Si
Tineo;8769;Occidente;No
Valdés;11394;Occidente-costero;No
Vegadeo;3926;Occidente;No
Villanueva de Oscos;272;Occidente;No
Villaviciosa;15000;Oriente-costero;Si
Villayón;1180;Occidente;No
Yernes y Tameza;136;Centro-montaña;No
Illano;?;Occidente;No
Ibias;1207;Suroccidente;Si
